District Name,Total Households,Number of SC Households,% of SC Households,Number of ST Households,% of ST Households,Number of Others Households,% of Others Households,Number of No Caste & Tribe Households,% No Caste & Tribe Households,State_Code
All India Total,179787454,33164085,18.45%,19737399,10.98%,123161662,68.5%,3679958,2.05%,01
North Zone Total,9104338,2340408,25.71%,318817,3.5%,6245186,68.6%,199671,2.19%,01
State Total,1601606,156382,9.76%,240677,15.03%,1074710,67.1%,129759,8.1%,01
Kupwara (01),107636,237,0.22%,8420,7.82%,82067,76.24%,16911,15.71%,01
Badgam (02),97773,101,0.1%,3221,3.29%,66807,68.33%,27644,28.27%,01
Leh(Ladakh) (03),17723,6,0.03%,16515,93.18%,89,0.5%,1113,6.28%,01
Kargil (04),15923,5,0.03%,15310,96.15%,77,0.48%,531,3.33%,01
Punch (05),81685,56,0.07%,32544,39.84%,47376,58%,1648,2.02%,01
Rajouri (06),127822,11669,9.13%,50175,39.25%,65231,51.03%,734,0.57%,01
Kathua (07),99768,22946,23%,7836,7.85%,52513,52.64%,16473,16.51%,01
Baramula (08),123540,31,0.03%,4212,3.41%,116778,94.53%,2519,2.04%,01
Bandipore (09),47848,202,0.42%,10937,22.86%,35911,75.05%,798,1.67%,01
Srinagar (10),4304,1,0.02%,310,7.2%,538,12.5%,3455,80.27%,01
Ganderbal (11),40450,57,0.14%,8958,22.15%,29644,73.29%,1791,4.43%,01
Pulwama (12),79308,245,0.31%,3658,4.61%,56074,70.7%,19329,24.37%,01
Shupiyan (13),42691,57,0.13%,749,1.75%,39490,92.5%,2395,5.61%,01
Anantnag (14),123476,405,0.33%,15430,12.5%,79480,64.37%,28161,22.81%,01
Kulgam (15),61426,122,0.2%,4188,6.82%,55632,90.57%,1484,2.42%,01
Doda (16),74110,10456,14.11%,6957,9.39%,55418,74.78%,1279,1.73%,01
Ramban (17),55171,2869,5.2%,8489,15.39%,43751,79.3%,62,0.11%,01
Kishtwar (18),42273,2292,5.42%,6610,15.64%,32100,75.93%,1271,3.01%,01
Udhampur (19),79845,21706,27.19%,8773,10.99%,47546,59.55%,1819,2.28%,01
Reasi (20),52339,6112,11.68%,15926,30.43%,30198,57.7%,103,0.2%,01
Jammu (21),170917,60162,35.2%,8345,4.88%,102304,59.86%,106,0.06%,01
Samba (22),55578,16645,29.95%,3114,5.6%,35686,64.21%,133,0.24%,01
All India Total,179787454,33164085,18.45%,19737399,10.98%,123161662,68.5%,3679958,2.05%,02
North Zone Total,9104338,2340408,25.71%,318817,3.5%,6245186,68.6%,199671,2.19%,02
State Total,1263756,302876,23.97%,77392,6.12%,862906,68.28%,20542,1.63%,02
Chamba (01),92274,18943,20.53%,25421,27.55%,43721,47.38%,4184,4.53%,02
Kangra (02),309461,62601,20.23%,17058,5.51%,228442,73.82%,1339,0.43%,02
LahulSpiti (03),6177,508,8.22%,5263,85.2%,303,4.91%,103,1.67%,02
Kullu (04),79798,22387,28.05%,3181,3.99%,53672,67.26%,558,0.7%,02
Mandi (05),198952,55410,27.85%,2556,1.28%,135217,67.96%,5764,2.9%,02
Hamirpur (06),96745,22157,22.9%,775,0.8%,73528,76%,283,0.29%,02
Una (07),97451,21981,22.56%,1912,1.96%,72812,74.72%,746,0.77%,02
Bilaspur (08),70768,17498,24.73%,1882,2.66%,51067,72.16%,321,0.45%,02
Solan (09),90043,24878,27.63%,4153,4.61%,58544,65.02%,2468,2.74%,02
Sirmaur (10),82214,22528,27.4%,1636,1.99%,57011,69.34%,1039,1.26%,02
Shimla (11),121586,30984,25.48%,1125,0.93%,86472,71.12%,2998,2.47%,02
Kinnaur (12),18287,3001,16.41%,12430,67.97%,2117,11.58%,739,4.04%,02
All India Total,179787454,33164085,18.45%,19737399,10.98%,123161662,68.5%,3679958,2.05%,03
North Zone Total,9104338,2340408,25.71%,318817,3.5%,6245186,68.6%,199671,2.19%,03
State Total,3269467,1201439,36.75%,160,0%,2041181,62.43%,26687,0.82%,03
Gurdaspur (01),297035,72746,24.49%,10,0%,218275,73.48%,6004,2.02%,03
Kapurthala (02),104862,40165,38.3%,0,0%,64096,61.12%,601,0.57%,03
Jalandhar (03),214994,109399,50.88%,0,0%,103954,48.35%,1641,0.76%,03
Hoshiarpur (04),263563,97273,36.91%,24,0.01%,164698,62.49%,1568,0.59%,03
Shahid Bhagat Singh Nagar (05),103553,44476,42.95%,1,0%,58940,56.92%,136,0.13%,03
Fatehgarh Sahib (06),76287,28256,37.04%,1,0%,47741,62.58%,289,0.38%,03
Ludhiana (07),269447,104045,38.61%,77,0.03%,164217,60.95%,1108,0.41%,03
Moga (08),143743,54942,38.22%,5,0%,88336,61.45%,460,0.32%,03
Firozpur (09),270011,133265,49.36%,11,0%,136479,50.55%,256,0.09%,03
Muktsar (10),123773,55166,44.57%,0,0%,68117,55.03%,490,0.4%,03
Faridkot (11),74717,30670,41.05%,0,0%,43916,58.78%,131,0.18%,03
Bathinda (12),159138,59669,37.5%,0,0%,98704,62.02%,765,0.48%,03
Mansa (13),114443,43579,38.08%,0,0%,70629,61.72%,235,0.21%,03
Patiala (14),213729,67159,31.42%,0,0%,146253,68.43%,317,0.15%,03
Amritsar (15),206172,60101,29.15%,5,0%,137852,66.86%,8214,3.98%,03
Tarn Taran (16),165688,53538,32.31%,0,0%,111267,67.15%,883,0.53%,03
Rupnagar (17),94482,25660,27.16%,25,0.03%,67482,71.42%,1315,1.39%,03
Sahibzada Ajit Singh Nagar (18),85222,25419,29.83%,0,0%,58175,68.26%,1628,1.91%,03
Sangrur (19),214234,70372,32.85%,1,0%,143254,66.87%,607,0.28%,03
Barnala (20),74374,25539,34.34%,0,0%,48796,65.61%,39,0.05%,03
All India Total,179787454,33164085,18.45%,19737399,10.98%,123161662,68.5%,3679958,2.05%,04
UT Zone Total,1338560,170441,12.73%,48291,3.61%,998379,74.59%,121162,9.05%,04
State Total,15657,2915,18.62%,0,0%,12596,80.45%,146,0.93%,04
CHANDIGARH DISTRICT (01),15657,2915,18.62%,0,0%,12596,80.45%,146,0.93%,04
All India Total,179787454,33164085,18.45%,19737399,10.98%,123161662,68.5%,3679958,2.05%,05
Central Zone Total,43325279,8814541,20.35%,4750435,10.96%,29551440,68.21%,198823,0.46%,05
State Total,1479742,277997,18.79%,46487,3.14%,1123666,75.94%,31563,2.13%,05
Uttarkashi (01),64836,15829,24.41%,460,0.71%,47605,73.42%,942,1.45%,05
Chamoli (02),70323,12017,17.09%,2269,3.23%,53800,76.5%,2237,3.18%,05
Rudraprayag (03),48830,6772,13.87%,110,0.23%,41847,85.7%,101,0.21%,05
TehriGarhwal (04),119766,15652,13.07%,310,0.26%,103164,86.14%,640,0.53%,05
Dehradun (05),165649,21023,12.69%,15341,9.26%,124751,75.31%,4534,2.74%,05
Garhwal (06),140122,19874,14.18%,410,0.29%,117647,83.96%,2191,1.56%,05
Pithoragarh (07),91906,22203,24.16%,4170,4.54%,65330,71.08%,203,0.22%,05
Bageshwar (08),53420,13374,25.04%,355,0.66%,39472,73.89%,219,0.41%,05
Almora (09),125275,24021,19.17%,258,0.21%,99261,79.23%,1735,1.38%,05
Champawat (10),44150,7711,17.47%,187,0.42%,35763,81%,489,1.11%,05
Nainital (11),117469,23743,20.21%,991,0.84%,80891,68.86%,11844,10.08%,05
UdhamSinghNagar (12),206204,33863,16.42%,20899,10.14%,146781,71.18%,4661,2.26%,05
Hardwar (13),231792,61915,26.71%,727,0.31%,167354,72.2%,1767,0.76%,05
All India Total,179787454,33164085,18.45%,19737399,10.98%,123161662,68.5%,3679958,2.05%,06
North Zone Total,9104338,2340408,25.71%,318817,3.5%,6245186,68.6%,199671,2.19%,06
State Total,2969509,679711,22.89%,588,0.02%,2266389,76.32%,22683,0.76%,06
Panchkula (01),47620,11258,23.64%,0,0%,36061,75.73%,301,0.63%,06
Ambala (02),114196,38839,34.01%,11,0.01%,75224,65.87%,122,0.11%,06
Yamunanagar (03),132327,42766,32.32%,0,0%,89397,67.56%,164,0.12%,06
Kurukshetra (04),129992,34643,26.65%,0,0%,95138,73.19%,211,0.16%,06
Kaithal (05),152125,38526,25.33%,0,0%,113400,74.54%,199,0.13%,06
Karnal (06),183992,46909,25.5%,32,0.02%,136760,74.33%,291,0.16%,06
Panipat (07),115331,22415,19.44%,272,0.24%,92147,79.9%,497,0.43%,06
Sonipat (08),178864,31650,17.7%,221,0.12%,146679,82.01%,314,0.18%,06
Jind (09),185184,43646,23.57%,0,0%,141334,76.32%,204,0.11%,06
Fatehabad (10),138546,44770,32.31%,0,0%,93661,67.6%,115,0.08%,06
Sirsa (11),175850,53388,30.36%,0,0%,105828,60.18%,16634,9.46%,06
Hisar (12),224387,56145,25.02%,25,0.01%,167979,74.86%,238,0.11%,06
Bhiwani (13),244308,45961,18.81%,1,0%,198080,81.08%,266,0.11%,06
Rohtak (14),109762,23054,21%,0,0%,85973,78.33%,735,0.67%,06
Jhajjar (15),126621,23658,18.68%,0,0%,102723,81.13%,240,0.19%,06
Mahendragarh (16),144210,25680,17.81%,0,0%,118440,82.13%,90,0.06%,06
Rewari (17),133065,28456,21.39%,9,0.01%,104208,78.31%,392,0.29%,06
Gurgaon (18),95792,17949,18.74%,1,0%,77578,80.99%,264,0.28%,06
Mewat (19),140478,10001,7.12%,1,0%,130217,92.7%,259,0.18%,06
Faridabad (20),66824,13318,19.93%,15,0.02%,52295,78.26%,1058,1.58%,06
Palwal (21),130035,26679,20.52%,0,0%,103267,79.41%,89,0.07%,06
All India Total,179787454,33164085,18.45%,19737399,10.98%,123161662,68.5%,3679958,2.05%,07
UT Zone Total,1338560,170441,12.73%,48291,3.61%,998379,74.59%,121162,9.05%,07
State Total,1051097,138478,13.17%,115,0.01%,821580,78.16%,90655,8.62%,07
North West (01),299316,39224,13.1%,10,0%,213286,71.26%,46690,15.6%,07
North (02),51632,6545,12.68%,6,0.01%,43284,83.83%,1797,3.48%,07
North East (03),194939,17866,9.16%,0,0%,166426,85.37%,10486,5.38%,07
East (04),93117,16962,18.22%,0,0%,63784,68.5%,12369,13.28%,07
West (07),124338,19239,15.47%,89,0.07%,99073,79.68%,5937,4.77%,07
South West (08),112653,13864,12.31%,3,0%,94820,84.17%,3966,3.52%,07
South (09),175102,24778,14.15%,7,0%,140907,80.47%,9410,5.37%,07
All India Total,179787454,33164085,18.45%,19737399,10.98%,123161662,68.5%,3679958,2.05%,08
West Zone Total,31206237,4035139,12.93%,5173837,16.58%,21445868,68.72%,547124,1.75%,08
State Total,10223073,1891287,18.5%,1799449,17.6%,6502512,63.61%,29817,0.29%,08
Ganganagar (01),287488,117976,41.04%,1064,0.37%,167850,58.39%,598,0.21%,08
Hanumangarh (02),275589,85738,31.11%,1484,0.54%,188086,68.25%,281,0.1%,08
Bikaner (03),261329,66615,25.49%,1973,0.75%,191503,73.28%,1238,0.47%,08
Churu (04),276699,69667,25.18%,3300,1.19%,203108,73.4%,624,0.23%,08
Jhunjhunun (05),317727,54813,17.25%,8969,2.82%,253618,79.82%,327,0.1%,08
Alwar (06),529224,98778,18.66%,44766,8.46%,383692,72.5%,1988,0.38%,08
Bharatpur (07),343978,78141,22.72%,8426,2.45%,256932,74.69%,474,0.14%,08
Dhaulpur (08),173796,37617,21.64%,10422,6%,125280,72.08%,477,0.27%,08
Karauli (09),250656,60587,24.17%,64527,25.74%,124700,49.75%,842,0.34%,08
Sawai Madhopur (10),221430,46757,21.12%,54395,24.57%,118575,53.55%,1703,0.77%,08
Dausa (11),273196,60204,22.04%,74654,27.33%,138019,50.52%,319,0.12%,08
Jaipur (12),530477,98121,18.5%,66071,12.46%,363692,68.56%,2593,0.49%,08
Sikar (13),369270,63817,17.28%,13876,3.76%,290857,78.77%,720,0.19%,08
Nagaur (14),523798,122047,23.3%,2526,0.48%,397968,75.98%,1257,0.24%,08
Jodhpur (15),460672,84185,18.27%,17006,3.69%,358257,77.77%,1224,0.27%,08
Jaisalmer (16),110525,15463,13.99%,6566,5.94%,85839,77.66%,2656,2.4%,08
Barmer (17),481147,81578,16.95%,34072,7.08%,364656,75.79%,840,0.17%,08
Jalor (18),324662,63091,19.43%,32662,10.06%,228472,70.37%,436,0.13%,08
Sirohi (19),170212,34634,20.35%,51480,30.24%,83762,49.21%,336,0.2%,08
Pali (20),352690,66013,18.72%,26926,7.63%,259157,73.48%,594,0.17%,08
Ajmer (21),315014,54076,17.17%,11148,3.54%,248511,78.89%,1279,0.41%,08
Tonk (22),233901,50325,21.52%,37850,16.18%,145305,62.12%,421,0.18%,08
Bundi (23),197992,39159,19.78%,49190,24.84%,109438,55.27%,205,0.1%,08
Bhilwara (24),419347,75435,17.99%,52885,12.61%,289194,68.96%,1833,0.44%,08
Rajsamand (25),220162,27965,12.7%,33044,15.01%,158329,71.91%,824,0.37%,08
Dungarpur (26),298430,10863,3.64%,213183,71.43%,73904,24.76%,480,0.16%,08
Banswara (27),357369,15233,4.26%,286630,80.21%,55217,15.45%,289,0.08%,08
Chittaurgarh (28),277402,48175,17.37%,43282,15.6%,185134,66.74%,811,0.29%,08
Kota (29),170991,42957,25.12%,25992,15.2%,101129,59.14%,913,0.53%,08
Baran (30),212554,37948,17.85%,56141,26.41%,117920,55.48%,545,0.26%,08
Jhalawar (31),260405,44713,17.17%,36281,13.93%,179152,68.8%,259,0.1%,08
Udaipur (32),546877,26308,4.81%,308273,56.37%,210049,38.41%,2247,0.41%,08
Pratapgarh (33),178064,12288,6.9%,120385,67.61%,45207,25.39%,184,0.1%,08
All India Total,179787454,33164085,18.45%,19737399,10.98%,123161662,68.5%,3679958,2.05%,09
Central Zone Total,43325279,8814541,20.35%,4750435,10.96%,29551440,68.21%,198823,0.46%,09
State Total,26015592,6191757,23.8%,176604,0.68%,19530460,75.07%,107149,0.41%,09
Saharanpur (01),418340,78671,18.81%,356,0.09%,339090,81.06%,213,0.05%,09
Muzaffarnagar (02),502344,52149,10.38%,499,0.1%,449166,89.41%,514,0.1%,09
Bijnor (03),495304,137022,27.66%,795,0.16%,356922,72.06%,212,0.04%,09
Moradabad (04),521305,99885,19.16%,299,0.06%,420373,80.64%,533,0.1%,09
Rampur (05),299340,40862,13.65%,112,0.04%,257772,86.11%,490,0.16%,09
Jyotiba Phule Nagar (06),228537,21643,9.47%,714,0.31%,194494,85.1%,11271,4.93%,09
Meerut (07),261180,55321,21.18%,247,0.09%,205299,78.6%,302,0.12%,09
Baghpat (08),161232,12328,7.65%,116,0.07%,148264,91.96%,498,0.31%,09
Ghaziabad (09),295081,40333,13.67%,972,0.33%,249790,84.65%,3986,1.35%,09
Gautam Buddha Nagar (10),289590,30849,10.65%,355,0.12%,256496,88.57%,1861,0.64%,09
Bulandshahr (11),427475,96866,22.66%,281,0.07%,330042,77.21%,286,0.07%,09
Aligarh (12),418563,98088,23.43%,590,0.14%,319186,76.26%,578,0.14%,09
Mahamaya Nagar (13),199901,39864,19.94%,344,0.17%,158474,79.28%,1219,0.61%,09
Mathura (14),294772,52966,17.97%,266,0.09%,240709,81.66%,825,0.28%,09
Agra (15),375187,70720,18.85%,663,0.18%,297189,79.21%,6213,1.66%,09
Firozabad (16),265386,54952,20.71%,292,0.11%,209849,79.07%,286,0.11%,09
Mainpuri (17),258844,52918,20.44%,325,0.13%,205202,79.28%,399,0.15%,09
Budaun (18),480817,84478,17.57%,801,0.17%,393393,81.82%,2145,0.45%,09
Bareilly (19),475247,67184,14.14%,744,0.16%,402104,84.61%,5193,1.09%,09
Pilibhit (20),303726,64497,21.24%,398,0.13%,238423,78.5%,408,0.13%,09
Shahjahanpur (21),405601,73965,18.24%,204,0.05%,330807,81.56%,625,0.15%,09
Kheri (22),640850,200720,31.32%,7130,1.11%,430815,67.23%,2185,0.34%,09
Sitapur (23),714977,273057,38.19%,725,0.1%,440341,61.59%,851,0.12%,09
Hardoi (24),617677,206893,33.5%,1873,0.3%,405042,65.58%,1620,0.26%,09
Unnao (25),481545,164296,34.12%,785,0.16%,315969,65.62%,495,0.1%,09
Lucknow (26),278203,116590,41.91%,459,0.16%,160180,57.58%,926,0.33%,09
Rae Bareli (27),569800,194682,34.17%,1383,0.24%,372543,65.38%,1182,0.21%,09
Farrukhabad (28),249331,44885,18%,112,0.04%,204204,81.9%,118,0.05%,09
Kannauj (29),237103,50188,21.17%,104,0.04%,186252,78.55%,299,0.13%,09
Etawah (30),213944,57833,27.03%,270,0.13%,155079,72.49%,743,0.35%,09
Auraiya (31),209864,58748,27.99%,669,0.32%,149226,71.11%,1170,0.56%,09
Kanpur Dehat (32),310765,81990,26.38%,1486,0.48%,225157,72.45%,246,0.08%,09
Kanpur Nagar (33),289213,69665,24.09%,714,0.25%,216093,74.72%,2741,0.95%,09
Jalaun (34),211977,62936,29.69%,194,0.09%,148469,70.04%,378,0.18%,09
Jhansi (35),212906,65333,30.69%,1878,0.88%,144313,67.78%,1382,0.65%,09
Lalitpur (36),186311,42715,22.93%,11650,6.25%,131130,70.38%,816,0.44%,09
Hamirpur (37),174857,39229,22.43%,54,0.03%,134854,77.12%,134,0.08%,09
Mahoba (38),127389,37517,29.45%,82,0.06%,89784,70.48%,5,0%,09
Banda (39),269240,49866,18.52%,403,0.15%,218178,81.03%,791,0.29%,09
Chitrakoot (40),152132,36801,24.19%,539,0.35%,114557,75.3%,224,0.15%,09
Fatehpur (41),415053,114505,27.59%,362,0.09%,299663,72.2%,522,0.13%,09
Pratapgarh (42),494720,123039,24.87%,583,0.12%,369686,74.73%,1329,0.27%,09
Kaushambi (43),255994,85043,33.22%,155,0.06%,170637,66.66%,159,0.06%,09
Allahabad (44),705588,181545,25.73%,1555,0.22%,519074,73.57%,3395,0.48%,09
Bara Banki (45),533550,174547,32.71%,643,0.12%,356539,66.82%,1762,0.33%,09
Faizabad (46),377144,105086,27.86%,947,0.25%,270799,71.8%,312,0.08%,09
Ambedkar Nagar (47),322410,94209,29.22%,816,0.25%,226598,70.28%,787,0.24%,09
Sultanpur (48),563089,137814,24.47%,1260,0.22%,421428,74.84%,2580,0.46%,09
Bahraich (49),541484,88608,16.36%,1756,0.32%,445474,82.27%,5633,1.04%,09
Shrawasti (50),179481,36889,20.55%,1096,0.61%,141119,78.63%,356,0.2%,09
Balrampur (51),293520,45441,15.48%,3335,1.14%,244345,83.25%,397,0.14%,09
Gonda (52),523254,98452,18.82%,808,0.15%,422658,80.77%,1336,0.26%,09
Siddharthnagar (53),382311,74907,19.59%,1829,0.48%,305190,79.83%,385,0.1%,09
Basti (54),385828,96972,25.13%,3059,0.79%,285299,73.94%,494,0.13%,09
Sant Kabir Nagar (55),243670,62049,25.46%,1418,0.58%,179608,73.71%,595,0.24%,09
Mahrajganj (56),407828,94200,23.1%,4088,1%,307377,75.37%,2160,0.53%,09
Gorakhpur (57),599152,162199,27.07%,4713,0.79%,428573,71.53%,3651,0.61%,09
Kushinagar (58),574969,129269,22.48%,12516,2.18%,432225,75.17%,959,0.17%,09
Deoria (59),450667,93421,20.73%,10613,2.35%,344760,76.5%,1873,0.42%,09
Azamgarh (60),615199,138262,22.47%,3270,0.53%,470147,76.42%,3091,0.5%,09
Mau (61),262251,70309,26.81%,2820,1.08%,187779,71.6%,1309,0.5%,09
Ballia (62),426709,78976,18.51%,13555,3.18%,333162,78.08%,990,0.23%,09
Jaunpur (63),596098,151908,25.48%,3605,0.6%,434045,72.81%,6536,1.1%,09
Ghazipur (64),476147,123369,25.91%,3447,0.72%,347254,72.93%,477,0.1%,09
Chandauli (65),265851,74079,27.86%,2026,0.76%,189065,71.12%,393,0.15%,09
Varanasi (66),343657,64694,18.83%,2639,0.77%,274056,79.75%,2268,0.66%,09
Sant Ravidas Nagar (Bhadohi) (67),191630,48658,25.39%,1087,0.57%,140370,73.25%,1468,0.77%,09
Mirzapur (68),340748,106395,31.22%,2780,0.82%,227341,66.72%,4186,1.23%,09
Sonbhadra (69),288433,81512,28.26%,49479,17.15%,155051,53.76%,2362,0.82%,09
Etah (70),241868,39232,16.22%,119,0.05%,201569,83.34%,940,0.39%,09
Kanshiram Nagar (71),191433,36663,19.15%,342,0.18%,154339,80.62%,81,0.04%,09
All India Total,179787454,33164085,18.45%,19737399,10.98%,123161662,68.5%,3679958,2.05%,10
East Zone Total,47307665,9720814,20.55%,4964016,10.49%,32302703,68.28%,293787,0.62%,10
State Total,17829066,3019662,16.94%,286393,1.61%,14481211,81.22%,21052,0.12%,10
Pashchim Champaran (01),681326,108067,15.86%,54232,7.96%,518425,76.09%,460,0.07%,10
Purba Champaran (02),917790,117005,12.75%,5825,0.63%,790391,86.12%,3132,0.34%,10
Sheohar (03),149211,22929,15.37%,109,0.07%,125801,84.31%,265,0.18%,10
Sitamarhi (04),725723,91756,12.64%,1185,0.16%,632453,87.15%,317,0.04%,10
Madhubani (05),886810,124820,14.08%,1912,0.22%,758478,85.53%,1299,0.15%,10
Supaul (06),455280,75517,16.59%,2562,0.56%,376545,82.71%,349,0.08%,10
Araria (07),595834,75715,12.71%,11488,1.93%,504609,84.69%,754,0.13%,10
Kishanganj (08),308989,22626,7.32%,13572,4.39%,272418,88.16%,372,0.12%,10
Purnia (09),591936,75812,12.81%,25388,4.29%,488103,82.46%,723,0.12%,10
Katihar (10),582089,49782,8.55%,37539,6.45%,491903,84.51%,2754,0.47%,10
Madhepura (11),402414,72273,17.96%,2545,0.63%,327190,81.31%,314,0.08%,10
Saharsa (12),351154,65939,18.78%,1267,0.36%,283583,80.76%,254,0.07%,10
Darbhanga (13),817164,131784,16.13%,1636,0.2%,682062,83.47%,1110,0.14%,10
Muzaffarpur (14),876341,144849,16.53%,2160,0.25%,728042,83.08%,1261,0.14%,10
Gopalganj (15),389899,52180,13.38%,13837,3.55%,323799,83.05%,63,0.02%,10
Siwan (16),519048,68078,13.12%,19974,3.85%,430867,83.01%,102,0.02%,10
Saran (17),577746,73741,12.76%,9148,1.58%,494441,85.58%,278,0.05%,10
Vaishali (18),629950,135924,21.58%,1191,0.19%,492287,78.15%,528,0.08%,10
