District Name,Total Households,Number of Households with Salaried Job,% of Households with Salaried Job,Households Salaried Jobs Government  Sector,Households Salaried Jobs % Government  Sector,Households Salaried Jobs Public Sector,Households Salaried Jobs % Public Sector,Households Salaried Jobs Private Sector,Households Salaried Jobs % Private Sector,Number of Households Pay Income Tax or Professional Tax,Number of Households Own/Operate an Enterprise registered with the Government,"Households highest earning Less than Rs. 5,000","Households highest earning % Less than Rs. 5,000","Households highest earning Between Rs. 5,000 and Rs 10,000","Households highest earning % Between Rs. 5,000 and Rs 10,000","Households highest earning Rs. 10,000 or more","Households highest earning % Rs. 10,000 or more",State_Code
All India Total,179787454,17340999,9.65%,8994054,5%,2016399,1.12%,6415270,3.57%,8220522,4896989,133985215,74.52%,30894589,17.18%,14828438,8.25%,01
North Zone Total,9104338,1659408,18.23%,1120618,12.31%,79047,0.87%,460257,5.06%,703763,581861,5389291,59.19%,2059464,22.62%,1651345,18.14%,01
State Total,1601606,358232,22.37%,319429,19.94%,8271,0.52%,30581,1.91%,139408,65904,1080174,67.44%,232753,14.53%,288670,18.02%,01
Kupwara (01),107636,21551,20.02%,20616,19.15%,308,0.29%,635,0.59%,9107,2391,78545,72.97%,11960,11.11%,17122,15.91%,01
Badgam (02),97773,19710,20.16%,17772,18.18%,382,0.39%,1556,1.59%,5873,1779,67264,68.8%,14251,14.58%,16258,16.63%,01
Leh(Ladakh) (03),17723,7667,43.26%,7051,39.78%,200,1.13%,420,2.37%,363,686,7584,42.79%,3879,21.89%,6260,35.32%,01
Kargil (04),15923,5157,32.39%,4939,31.02%,116,0.73%,102,0.64%,236,444,8054,50.58%,4161,26.13%,3708,23.29%,01
Punch (05),81685,12777,15.64%,11905,14.57%,168,0.21%,704,0.86%,7389,5650,60811,74.45%,10146,12.42%,10728,13.13%,01
Rajouri (06),127822,26088,20.41%,25048,19.6%,353,0.28%,698,0.55%,13492,8545,94087,73.61%,11901,9.31%,21834,17.08%,01
Kathua (07),99768,24898,24.96%,21601,21.65%,465,0.47%,2833,2.84%,10426,5260,63374,63.52%,16296,16.33%,20098,20.14%,01
Baramula (08),123540,25902,20.97%,23962,19.4%,539,0.44%,1401,1.13%,10133,2296,81531,66%,20222,16.37%,21787,17.64%,01
Bandipore (09),47848,9456,19.76%,8885,18.57%,168,0.35%,403,0.84%,4263,1099,32443,67.8%,7241,15.13%,8164,17.06%,01
Srinagar (10),4304,1024,23.79%,620,14.41%,99,2.3%,305,7.09%,834,515,2017,46.86%,1537,35.71%,750,17.43%,01
Ganderbal (11),40450,8369,20.69%,7994,19.76%,73,0.18%,302,0.75%,2314,546,27497,67.98%,6553,16.2%,6400,15.82%,01
Pulwama (12),79308,18706,23.59%,17299,21.81%,394,0.5%,1017,1.28%,6738,2397,50610,63.81%,13247,16.7%,15451,19.48%,01
Shupiyan (13),42691,5340,12.51%,5052,11.83%,66,0.15%,222,0.52%,1797,522,26457,61.97%,10017,23.46%,6217,14.56%,01
Anantnag (14),123476,24135,19.55%,22666,18.36%,390,0.32%,1079,0.87%,8797,3005,87253,70.66%,16403,13.28%,19820,16.05%,01
Kulgam (15),61426,9927,16.16%,9509,15.48%,102,0.17%,316,0.51%,3502,1220,46958,76.45%,6219,10.12%,8249,13.43%,01
Doda (16),74110,15921,21.48%,15057,20.32%,210,0.28%,654,0.88%,4424,2984,56271,75.93%,5959,8.04%,11880,16.03%,01
Ramban (17),55171,8165,14.8%,7206,13.06%,447,0.81%,512,0.93%,3412,2123,45242,82%,4262,7.73%,5667,10.27%,01
Kishtwar (18),42273,8322,19.69%,7354,17.4%,254,0.6%,718,1.7%,2242,2399,33327,78.84%,3784,8.95%,5162,12.21%,01
Udhampur (19),79845,16357,20.49%,14680,18.39%,293,0.37%,1384,1.73%,6943,4580,54672,68.47%,11850,14.84%,13323,16.69%,01
Reasi (20),52339,9078,17.34%,6732,12.86%,753,1.44%,1593,3.04%,3606,1636,42055,80.35%,4163,7.95%,6121,11.69%,01
Jammu (21),170917,56394,32.99%,45192,26.44%,1581,0.93%,9628,5.63%,24627,12549,88588,51.83%,35967,21.04%,46362,27.13%,01
Samba (22),55578,23288,41.9%,18289,32.91%,910,1.64%,4099,7.38%,8890,3278,25534,45.94%,12735,22.91%,17309,31.14%,01
All India Total,179787454,17340999,9.65%,8994054,5%,2016399,1.12%,6415270,3.57%,8220522,4896989,133985215,74.52%,30894589,17.18%,14828438,8.25%,02
North Zone Total,9104338,1659408,18.23%,1120618,12.31%,79047,0.87%,460257,5.06%,703763,581861,5389291,59.19%,2059464,22.62%,1651345,18.14%,02
State Total,1263756,428094,33.87%,291238,23.05%,17887,1.42%,118977,9.41%,132523,108187,676512,53.53%,279896,22.15%,307347,24.32%,02
Chamba (01),92274,26164,28.35%,21897,23.73%,1088,1.18%,3180,3.45%,15653,11012,62480,67.71%,12162,13.18%,17632,19.11%,02
Kangra (02),309461,113518,36.68%,74777,24.16%,5060,1.64%,33683,10.88%,35438,31884,150686,48.69%,77931,25.18%,80844,26.12%,02
LahulSpiti (03),6177,2409,39%,2313,37.45%,25,0.4%,71,1.15%,564,375,3089,50.01%,1344,21.76%,1744,28.23%,02
Kullu (04),79798,14264,17.88%,11769,14.75%,411,0.52%,2084,2.61%,4984,3340,51776,64.88%,14522,18.2%,13500,16.92%,02
Mandi (05),198952,64591,32.47%,50148,25.21%,1730,0.87%,12715,6.39%,17299,13156,112600,56.6%,37008,18.6%,49344,24.8%,02
Hamirpur (06),96745,49610,51.28%,27611,28.54%,2584,2.67%,19417,20.07%,12064,10176,36531,37.76%,26906,27.81%,33308,34.43%,02
Una (07),97451,34841,35.75%,19120,19.62%,1647,1.69%,14074,14.44%,11460,13888,49348,50.64%,24638,25.28%,23465,24.08%,02
Bilaspur (08),70768,25756,36.39%,17486,24.71%,740,1.05%,7530,10.64%,7852,4662,34320,48.5%,15904,22.47%,20544,29.03%,02
Solan (09),90043,35758,39.71%,18393,20.43%,2223,2.47%,15142,16.82%,10734,8668,48117,53.44%,23569,26.18%,18357,20.39%,02
Sirmaur (10),82214,21758,26.47%,14973,18.21%,1060,1.29%,5725,6.96%,4482,4384,53007,64.47%,14169,17.23%,15037,18.29%,02
Shimla (11),121586,33449,27.51%,28036,23.06%,1117,0.92%,4297,3.53%,10126,5420,64974,53.44%,27499,22.62%,29113,23.94%,02
Kinnaur (12),18287,5976,32.68%,4715,25.78%,202,1.1%,1059,5.79%,1867,1222,9584,52.41%,4244,23.21%,4459,24.38%,02
All India Total,179787454,17340999,9.65%,8994054,5%,2016399,1.12%,6415270,3.57%,8220522,4896989,133985215,74.52%,30894589,17.18%,14828438,8.25%,03
North Zone Total,9104338,1659408,18.23%,1120618,12.31%,79047,0.87%,460257,5.06%,703763,581861,5389291,59.19%,2059464,22.62%,1651345,18.14%,03
State Total,3269467,419124,12.82%,244581,7.48%,27954,0.86%,146598,4.48%,228547,182830,1881889,57.56%,813841,24.89%,571951,17.49%,03
Gurdaspur (01),297035,55127,18.56%,40588,13.66%,2336,0.79%,12203,4.11%,32478,19847,171729,57.81%,67166,22.61%,58029,19.54%,03
Kapurthala (02),104862,16970,16.18%,8956,8.54%,2773,2.64%,5241,5%,8194,4872,57033,54.39%,28420,27.1%,19334,18.44%,03
Jalandhar (03),214994,24858,11.56%,11514,5.36%,1441,0.67%,11903,5.54%,11870,5971,114013,53.03%,67894,31.58%,33020,15.36%,03
Hoshiarpur (04),263563,49252,18.69%,32201,12.22%,1887,0.72%,15164,5.75%,28781,20359,135008,51.22%,71378,27.08%,57021,21.63%,03
Shahid Bhagat Singh Nagar (05),103553,11939,11.53%,7105,6.86%,442,0.43%,4393,4.24%,6959,10927,53574,51.74%,30003,28.97%,19789,19.11%,03
Fatehgarh Sahib (06),76287,10176,13.34%,5719,7.5%,333,0.44%,4125,5.41%,5514,3502,41687,54.64%,17469,22.9%,17104,22.42%,03
Ludhiana (07),269447,51756,19.21%,19304,7.16%,3826,1.42%,28631,10.63%,21489,15949,153043,56.8%,68355,25.37%,47992,17.81%,03
Moga (08),143743,11068,7.7%,7118,4.95%,591,0.41%,3359,2.34%,6813,4701,84914,59.07%,32815,22.83%,25673,17.86%,03
Firozpur (09),270011,16605,6.15%,12312,4.56%,702,0.26%,3591,1.33%,10621,7327,170010,62.96%,55417,20.52%,44529,16.49%,03
Muktsar (10),123773,7206,5.82%,5571,4.5%,234,0.19%,1401,1.13%,5370,2803,74275,60.01%,25798,20.84%,23648,19.11%,03
Faridkot (11),74717,5737,7.68%,3626,4.85%,603,0.81%,1508,2.02%,3577,5613,43143,57.74%,17867,23.91%,13706,18.34%,03
Bathinda (12),159138,12010,7.55%,8380,5.27%,820,0.52%,2810,1.77%,7431,4164,93389,58.68%,39441,24.78%,26289,16.52%,03
Mansa (13),114443,7004,6.12%,5187,4.53%,258,0.23%,1559,1.36%,4547,4783,75553,66.02%,25845,22.58%,12760,11.15%,03
Patiala (14),213729,25037,11.71%,13792,6.45%,1752,0.82%,9493,4.44%,14461,12798,125680,58.8%,50589,23.67%,37415,17.51%,03
Amritsar (15),206172,26969,13.08%,15230,7.39%,2987,1.45%,8754,4.25%,16988,16838,117117,56.81%,62161,30.15%,26874,13.03%,03
Tarn Taran (16),165688,15149,9.14%,10711,6.46%,566,0.34%,3872,2.34%,9150,8370,102296,61.74%,39891,24.08%,23451,14.15%,03
Rupnagar (17),94482,19743,20.9%,12537,13.27%,695,0.74%,6511,6.89%,11866,7275,52198,55.25%,23622,25%,18653,19.74%,03
Sahibzada Ajit Singh Nagar (18),85222,22582,26.5%,8616,10.11%,1329,1.56%,12637,14.83%,7459,6973,49758,58.39%,22981,26.97%,12342,14.48%,03
Sangrur (19),214234,24862,11.61%,12893,6.02%,3983,1.86%,7986,3.73%,12273,17662,125827,58.73%,48821,22.79%,39514,18.44%,03
Barnala (20),74374,5074,6.82%,3221,4.33%,396,0.53%,1457,1.96%,2706,2096,41642,55.99%,17908,24.08%,14808,19.91%,03
All India Total,179787454,17340999,9.65%,8994054,5%,2016399,1.12%,6415270,3.57%,8220522,4896989,133985215,74.52%,30894589,17.18%,14828438,8.25%,04
UT Zone Total,1338560,791604,59.14%,137225,10.25%,93946,7.02%,560573,41.88%,216570,223027,480016,35.86%,507298,37.9%,351244,26.24%,04
State Total,15657,9445,60.32%,1994,12.74%,312,1.99%,7139,45.6%,1779,1182,7046,45%,5119,32.69%,3492,22.3%,04
CHANDIGARH DISTRICT (01),15657,9445,60.32%,1994,12.74%,312,1.99%,7139,45.6%,1779,1182,7046,45%,5119,32.69%,3492,22.3%,04
All India Total,179787454,17340999,9.65%,8994054,5%,2016399,1.12%,6415270,3.57%,8220522,4896989,133985215,74.52%,30894589,17.18%,14828438,8.25%,05
Central Zone Total,43325279,3403785,7.86%,1830255,4.22%,504151,1.16%,1075598,2.48%,1172431,873318,33120450,76.45%,7091140,16.37%,3088903,7.13%,05
State Total,1479742,350309,23.67%,184079,12.44%,29635,2%,136596,9.23%,110323,75829,938356,63.41%,323538,21.86%,217848,14.72%,05
Uttarkashi (01),64836,9465,14.6%,7592,11.71%,407,0.63%,1466,2.26%,3359,2179,51936,80.1%,5870,9.05%,7030,10.84%,05
Chamoli (02),70323,18926,26.91%,14630,20.8%,1102,1.57%,3194,4.54%,4508,2171,42243,60.07%,17022,24.21%,11058,15.72%,05
Rudraprayag (03),48830,11037,22.6%,6291,12.88%,1114,2.28%,3632,7.44%,4082,1103,26240,53.74%,15294,31.32%,7296,14.94%,05
TehriGarhwal (04),119766,31554,26.35%,10682,8.92%,2832,2.36%,18040,15.06%,5598,4568,84962,70.94%,23324,19.47%,11480,9.59%,05
Dehradun (05),165649,65216,39.37%,34317,20.72%,4303,2.6%,26596,16.06%,27766,13656,81092,48.95%,39671,23.95%,44886,27.1%,05
Garhwal (06),140122,35025,25%,23017,16.43%,2812,2.01%,9196,6.56%,12929,3936,82910,59.17%,33446,23.87%,23766,16.96%,05
Pithoragarh (07),91906,26197,28.5%,18798,20.45%,1042,1.13%,6357,6.92%,5596,4738,57746,62.83%,18181,19.78%,15979,17.39%,05
Bageshwar (08),53420,15998,29.95%,8362,15.65%,1122,2.1%,6515,12.2%,3211,2089,35456,66.37%,11211,20.99%,6753,12.64%,05
Almora (09),125275,26974,21.53%,14772,11.79%,1935,1.54%,10267,8.2%,7087,5104,91822,73.3%,20342,16.24%,13111,10.47%,05
Champawat (10),44150,7310,16.56%,4972,11.26%,323,0.73%,2015,4.56%,2978,2342,32282,73.12%,6194,14.03%,5674,12.85%,05
Nainital (11),117469,28223,24.03%,13526,11.51%,3819,3.25%,10878,9.26%,10706,10720,72576,61.78%,24555,20.9%,20338,17.31%,05
UdhamSinghNagar (12),206204,37708,18.29%,15426,7.48%,4022,1.95%,18260,8.86%,11393,12624,134083,65.02%,45854,22.24%,26267,12.74%,05
Hardwar (13),231792,36676,15.82%,11694,5.05%,4802,2.07%,20180,8.71%,11110,10599,145008,62.56%,62574,27%,24210,10.44%,05
All India Total,179787454,17340999,9.65%,8994054,5%,2016399,1.12%,6415270,3.57%,8220522,4896989,133985215,74.52%,30894589,17.18%,14828438,8.25%,06
North Zone Total,9104338,1659408,18.23%,1120618,12.31%,79047,0.87%,460257,5.06%,703763,581861,5389291,59.19%,2059464,22.62%,1651345,18.14%,06
State Total,2969509,453958,15.29%,265370,8.94%,24935,0.84%,164101,5.53%,203285,224940,1750716,58.96%,732974,24.68%,483377,16.28%,06
Panchkula (01),47620,11532,24.22%,4627,9.72%,411,0.86%,6495,13.64%,3577,2963,28942,60.78%,11349,23.83%,7322,15.38%,06
Ambala (02),114196,14134,12.38%,8083,7.08%,531,0.46%,5520,4.83%,5903,6862,68564,60.04%,28396,24.87%,17213,15.07%,06
Yamunanagar (03),132327,13099,9.9%,8205,6.2%,509,0.38%,4385,3.31%,7045,7588,87220,65.91%,26698,20.18%,18379,13.89%,06
Kurukshetra (04),129992,13493,10.38%,8066,6.2%,763,0.59%,4666,3.59%,6354,6869,76061,58.51%,30545,23.5%,23335,17.95%,06
Kaithal (05),152125,10498,6.9%,7552,4.96%,435,0.29%,2514,1.65%,5538,3547,96385,63.36%,34116,22.43%,21429,14.09%,06
Karnal (06),183992,18943,10.3%,9930,5.4%,993,0.54%,8021,4.36%,8368,6561,116935,63.55%,42309,23%,24727,13.44%,06
Panipat (07),115331,19603,17%,9119,7.91%,1674,1.45%,8811,7.64%,8194,23150,69494,60.26%,28972,25.12%,16562,14.36%,06
Sonipat (08),178864,40435,22.61%,21694,12.13%,2178,1.22%,16567,9.26%,19046,24477,99781,55.79%,47732,26.69%,31324,17.51%,06
Jind (09),185184,18236,9.85%,13827,7.47%,752,0.41%,3658,1.98%,12725,11248,114349,61.75%,43063,23.25%,27762,14.99%,06
Fatehabad (10),138546,10548,7.61%,6750,4.87%,1005,0.73%,2793,2.02%,6122,7811,83537,60.3%,32519,23.47%,22237,16.05%,06
Sirsa (11),175850,9831,5.59%,6583,3.74%,800,0.45%,2846,1.62%,6527,12113,98824,56.2%,48169,27.39%,28565,16.24%,06
Hisar (12),224387,24745,11.03%,18734,8.35%,822,0.37%,5189,2.31%,13665,14584,129567,57.74%,58506,26.07%,35427,15.79%,06
Bhiwani (13),244308,37423,15.32%,27965,11.45%,1558,0.64%,7901,3.23%,15626,13079,143106,58.58%,59290,24.27%,41896,17.15%,06
Rohtak (14),109762,22852,20.82%,15773,14.37%,1074,0.98%,6006,5.47%,11961,12652,61050,55.62%,29323,26.72%,19329,17.61%,06
Jhajjar (15),126621,31033,24.51%,21279,16.81%,996,0.79%,8770,6.93%,18961,21194,68615,54.19%,31658,25%,26347,20.81%,06
Mahendragarh (16),144210,32228,22.35%,24280,16.84%,995,0.69%,6954,4.82%,13074,11631,80806,56.03%,32520,22.55%,30807,21.36%,06
Rewari (17),133065,35439,26.63%,22829,17.16%,1684,1.27%,10926,8.21%,13901,8247,71276,53.56%,31075,23.35%,30688,23.06%,06
Gurgaon (18),95792,36353,37.95%,11085,11.57%,3670,3.83%,21612,22.56%,10890,11992,40960,42.76%,34128,35.63%,20655,21.56%,06
Mewat (19),140478,9401,6.69%,4092,2.91%,924,0.66%,4388,3.12%,3682,7461,97731,69.57%,31179,22.19%,11544,8.22%,06
Faridabad (20),66824,20204,30.23%,4935,7.39%,1616,2.42%,13653,20.43%,5180,5613,35134,52.58%,20730,31.02%,10903,16.32%,06
Palwal (21),130035,23928,18.4%,9962,7.66%,1545,1.19%,12426,9.56%,6946,5298,82379,63.35%,30697,23.61%,16926,13.02%,06
All India Total,179787454,17340999,9.65%,8994054,5%,2016399,1.12%,6415270,3.57%,8220522,4896989,133985215,74.52%,30894589,17.18%,14828438,8.25%,07
UT Zone Total,1338560,791604,59.14%,137225,10.25%,93946,7.02%,560573,41.88%,216570,223027,480016,35.86%,507298,37.9%,351244,26.24%,07
State Total,1051097,663600,63.13%,98213,9.34%,86466,8.23%,478921,45.56%,186173,205428,307524,29.26%,443975,42.24%,299598,28.5%,07
North West (01),299316,193870,64.77%,26090,8.72%,32068,10.71%,135712,45.34%,44112,52672,93370,31.19%,126032,42.11%,79914,26.7%,07
North (02),51632,38566,74.69%,6457,12.51%,3418,6.62%,28691,55.57%,9257,8246,14243,27.59%,22689,43.94%,14700,28.47%,07
North East (03),194939,76468,39.23%,15718,8.06%,11488,5.89%,49262,25.27%,37596,60636,81538,41.83%,64081,32.87%,49320,25.3%,07
East (04),93117,54183,58.19%,6769,7.27%,10063,10.81%,37351,40.11%,18698,22412,15740,16.9%,39110,42%,38267,41.1%,07
West (07),124338,84195,67.71%,12332,9.92%,13246,10.65%,58617,47.14%,24417,24633,34196,27.5%,54678,43.98%,35464,28.52%,07
South West (08),112653,77325,68.64%,20773,18.44%,6091,5.41%,50461,44.79%,25361,15290,20229,17.96%,53084,47.12%,39340,34.92%,07
South (09),175102,138993,79.38%,10074,5.75%,10092,5.76%,118827,67.86%,26732,21539,48208,27.53%,84301,48.14%,42593,24.32%,07
All India Total,179787454,17340999,9.65%,8994054,5%,2016399,1.12%,6415270,3.57%,8220522,4896989,133985215,74.52%,30894589,17.18%,14828438,8.25%,08
West Zone Total,31206237,3352606,10.74%,1600362,5.13%,356772,1.14%,1398615,4.48%,1458445,1126170,22135192,70.93%,5855964,18.77%,3204134,10.27%,08
State Total,10223073,925475,9.05%,570156,5.58%,62625,0.61%,292750,2.86%,336911,185669,7474932,73.12%,1759192,17.21%,981788,9.6%,08
Ganganagar (01),287488,17186,5.98%,11204,3.9%,1337,0.47%,4644,1.62%,7430,8920,194636,67.7%,55975,19.47%,36837,12.81%,08
Hanumangarh (02),275589,15566,5.65%,10423,3.78%,1131,0.41%,4012,1.46%,6472,5872,181546,65.88%,56741,20.59%,37299,13.53%,08
Bikaner (03),261329,12150,4.65%,8338,3.19%,756,0.29%,3056,1.17%,4897,1903,188339,72.07%,51044,19.53%,21740,8.32%,08
Churu (04),276699,23877,8.63%,17234,6.23%,1130,0.41%,5514,1.99%,8419,3530,200759,72.56%,47650,17.22%,28252,10.21%,08
Jhunjhunun (05),317727,70833,22.29%,50424,15.87%,4623,1.46%,15786,4.97%,25958,8205,160342,50.47%,86004,27.07%,71363,22.46%,08
Alwar (06),529224,63541,12.01%,48149,9.1%,2929,0.55%,12463,2.35%,28037,9660,325639,61.53%,125471,23.71%,77895,14.72%,08
Bharatpur (07),343978,34133,9.92%,26251,7.63%,2354,0.68%,5532,1.61%,14723,3193,229738,66.79%,72134,20.97%,42098,12.24%,08
Dhaulpur (08),173796,7775,4.47%,5680,3.27%,427,0.25%,1668,0.96%,3548,1634,130975,75.36%,30118,17.33%,12703,7.31%,08
Karauli (09),250656,24950,9.95%,20645,8.24%,1169,0.47%,3140,1.25%,12108,2657,184371,73.56%,39059,15.58%,27182,10.84%,08
Sawai Madhopur (10),221430,16828,7.6%,13815,6.24%,776,0.35%,2237,1.01%,9031,3371,170901,77.18%,31595,14.27%,18871,8.52%,08
Dausa (11),273196,29122,10.66%,20151,7.38%,1832,0.67%,7139,2.61%,11355,7537,197149,72.16%,47723,17.47%,28273,10.35%,08
Jaipur (12),530477,61384,11.57%,39068,7.36%,3765,0.71%,18551,3.5%,22827,6268,345541,65.14%,121348,22.88%,63314,11.94%,08
Sikar (13),369270,59987,16.24%,40126,10.87%,2353,0.64%,17508,4.74%,21026,7151,195168,52.85%,105421,28.55%,68580,18.57%,08
Nagaur (14),523798,52783,10.08%,35999,6.87%,1929,0.37%,14856,2.84%,19320,6183,347633,66.37%,117504,22.43%,58447,11.16%,08
Jodhpur (15),460672,56239,12.21%,33318,7.23%,2937,0.64%,19984,4.34%,17711,19910,294068,63.83%,109447,23.76%,56973,12.37%,08
Jaisalmer (16),110525,7266,6.57%,6000,5.43%,336,0.3%,967,0.87%,2848,1096,77019,69.68%,23231,21.02%,10217,9.24%,08
Barmer (17),481147,46471,9.66%,19504,4.05%,3498,0.73%,23472,4.88%,12305,8903,365623,75.99%,75693,15.73%,39558,8.22%,08
Jalor (18),324662,33876,10.43%,8917,2.75%,3249,1%,21716,6.69%,8218,14044,220758,68%,72661,22.38%,31117,9.58%,08
Sirohi (19),170212,26209,15.4%,6027,3.54%,2563,1.51%,17619,10.35%,4711,4059,122073,71.72%,33911,19.92%,14108,8.29%,08
Pali (20),352690,41252,11.7%,15856,4.5%,4088,1.16%,21308,6.04%,11516,10913,242532,68.77%,76364,21.65%,33677,9.55%,08
Ajmer (21),315014,28663,9.1%,17800,5.65%,1998,0.63%,8865,2.81%,9110,5721,236533,75.09%,53767,17.07%,24258,7.7%,08
