District Name,Total Households,Number of Households with Salaried Job,% of Households with Salaried Job,Households Salaried Jobs Government  Sector,Households Salaried Jobs % Government  Sector,Households Salaried Jobs Public Sector,Households Salaried Jobs % Public Sector,Households Salaried Jobs Private Sector,Households Salaried Jobs % Private Sector,Number of Households Pay Income Tax or Professional Tax,Number of Households Own/Operate an Enterprise registered with the Government,"Households highest earning Less than Rs. 5,000","Households highest earning % Less than Rs. 5,000","Households highest earning Between Rs. 5,000 and Rs 10,000","Households highest earning % Between Rs. 5,000 and Rs 10,000","Households highest earning Rs. 10,000 or more","Households highest earning % Rs. 10,000 or more",State_Code
Nashik (20),702961,57703,8.21%,33407,4.75%,6492,0.92%,17849,2.54%,37938,19434,545132,77.55%,99096,14.1%,58289,8.29%,27
Thane (21),626009,158760,25.36%,39664,6.34%,23150,3.7%,96005,15.34%,57523,21841,417588,66.71%,124682,19.92%,83735,13.38%,27
Raigarh (24),453135,148493,32.77%,35316,7.79%,35474,7.83%,77745,17.16%,56095,18203,278951,61.56%,95241,21.02%,78943,17.42%,27
Pune (25),751874,199909,26.59%,43728,5.82%,17141,2.28%,139321,18.53%,76100,33688,377652,50.23%,230981,30.72%,143122,19.04%,27
Ahmadnagar (26),763339,76797,10.06%,45786,6%,13989,1.83%,17262,2.26%,44027,21566,531909,69.68%,148064,19.4%,83212,10.9%,27
Bid (27),460613,30611,6.65%,23216,5.04%,3530,0.77%,3979,0.86%,17197,7806,306613,66.57%,101037,21.94%,52690,11.44%,27
Latur (28),360602,32768,9.09%,24114,6.69%,2792,0.77%,5910,1.64%,21675,9336,236968,65.71%,74318,20.61%,49316,13.68%,27
Osmanabad (29),294600,21988,7.46%,16381,5.56%,2305,0.78%,3315,1.13%,11588,6589,202682,68.8%,63636,21.6%,28282,9.6%,27
Solapur (30),597623,45874,7.68%,30702,5.14%,6981,1.17%,8279,1.39%,27274,12052,416875,69.76%,114098,19.09%,66650,11.15%,27
Satara (31),539808,97873,18.13%,44896,8.32%,15543,2.88%,37492,6.95%,38654,19713,333062,61.7%,131048,24.28%,75690,14.02%,27
Ratnagiri (32),343088,50235,14.64%,20566,5.99%,3825,1.11%,25876,7.54%,20002,12734,276091,80.47%,38738,11.29%,28259,8.24%,27
Sindhudurg (33),186826,28078,15.03%,17822,9.54%,2887,1.55%,7472,4%,11201,6880,143123,76.61%,25906,13.87%,17797,9.53%,27
Kolhapur (34),590837,139166,23.55%,42446,7.18%,20788,3.52%,76129,12.88%,45401,23320,369258,62.5%,138425,23.43%,83090,14.06%,27
Sangli (35),433206,62679,14.47%,26790,6.18%,7876,1.82%,28072,6.48%,27561,20305,256878,59.3%,114020,26.32%,62308,14.38%,27
All India Total,179787454,17340999,9.65%,8994054,5%,2016399,1.12%,6415270,3.57%,8220522,4896989,133985215,74.52%,30894589,17.18%,14828438,8.25%,28
South Zone Total,39443917,3652759,9.26%,1545951,3.92%,371569,0.94%,1741159,4.41%,2176116,1002611,29579625,74.99%,7007852,17.77%,2835724,7.19%,28
State Total,9344180,427406,4.57%,180905,1.94%,32526,0.35%,214883,2.3%,271736,227271,7430191,79.52%,1462316,15.65%,436383,4.67%,28
Srikakulam (11),558929,29785,5.33%,19764,3.54%,1689,0.3%,8333,1.49%,18289,17119,456020,81.59%,74684,13.36%,27961,5%,28
Vizianagaram (12),478978,30597,6.39%,15053,3.14%,3707,0.77%,11788,2.46%,13669,12413,408093,85.2%,53522,11.17%,17336,3.62%,28
Visakhapatnam (13),602256,24905,4.14%,12553,2.08%,2364,0.39%,9988,1.66%,29725,18602,516103,85.69%,66523,11.05%,19436,3.23%,28
EastGodavari (14),1176639,44838,3.81%,22482,1.91%,1755,0.15%,20626,1.75%,19462,18333,1021036,86.78%,121446,10.32%,33746,2.87%,28
WestGodavari (15),881322,34838,3.95%,14577,1.65%,2103,0.24%,18180,2.06%,20782,13513,665923,75.56%,183585,20.83%,31128,3.53%,28
Krishna (16),852522,57860,6.79%,18799,2.21%,6179,0.72%,32908,3.86%,20000,13427,696466,81.69%,117293,13.76%,38464,4.51%,28
Guntur (17),862356,22838,2.65%,9662,1.12%,1507,0.17%,11686,1.36%,15312,13258,667042,77.35%,164306,19.05%,30930,3.59%,28
Prakasam (18),701745,23799,3.39%,13089,1.87%,1223,0.17%,9493,1.35%,16572,31161,533552,76.03%,130077,18.54%,34676,4.94%,28
SriPottiSriramuluNellore (19),590457,34283,5.81%,16235,2.75%,2855,0.48%,15956,2.7%,28160,17064,478724,81.08%,82011,13.89%,28359,4.8%,28
YSR (20),516185,11665,2.26%,4085,0.79%,1060,0.21%,6520,1.26%,7216,10411,414991,80.4%,82259,15.94%,18900,3.66%,28
Kurnool (21),637178,16385,2.57%,8128,1.28%,1674,0.26%,6583,1.03%,14833,14916,486695,76.38%,108083,16.96%,41338,6.49%,28
Anantapur (22),686743,15136,2.2%,7631,1.11%,1201,0.17%,6305,0.92%,9767,24649,547070,79.66%,102075,14.86%,34177,4.98%,28
Chittoor (23),798870,80477,10.07%,18847,2.36%,5209,0.65%,56517,7.07%,57949,22405,538476,67.4%,176452,22.09%,79932,10.01%,28
All India Total,179787454,17340999,9.65%,8994054,5%,2016399,1.12%,6415270,3.57%,8220522,4896989,133985215,74.52%,30894589,17.18%,14828438,8.25%,29
South Zone Total,39443917,3652759,9.26%,1545951,3.92%,371569,0.94%,1741159,4.41%,2176116,1002611,29579625,74.99%,7007852,17.77%,2835724,7.19%,29
State Total,8048664,794472,9.87%,310320,3.86%,89284,1.11%,395443,4.91%,736867,283793,5560356,69.08%,1792649,22.27%,694617,8.63%,29
Belgaum (01),735630,77326,10.51%,34518,4.69%,7038,0.96%,35805,4.87%,48078,32787,556893,75.7%,130653,17.76%,47834,6.5%,29
Bagalkot (02),240555,20346,8.46%,11689,4.86%,1790,0.74%,6877,2.86%,16005,8154,170747,70.98%,48964,20.35%,20844,8.66%,29
Bijapur (03),292629,26954,9.21%,18485,6.32%,2033,0.69%,6454,2.21%,27585,11605,204024,69.72%,67209,22.97%,21396,7.31%,29
Bidar (04),240566,22268,9.26%,7905,3.29%,8374,3.48%,6011,2.5%,40400,14743,143473,59.64%,62043,25.79%,35050,14.57%,29
Raichur (05),267156,12446,4.66%,5801,2.17%,3645,1.36%,3088,1.16%,21841,10113,132648,49.65%,96968,36.3%,37538,14.05%,29
Koppal (06),222255,13078,5.88%,7727,3.48%,1056,0.48%,4305,1.94%,30423,6349,163994,73.79%,45958,20.68%,12303,5.54%,29
Gadag (07),134976,8693,6.44%,6248,4.63%,433,0.32%,2016,1.49%,5102,3282,94123,69.73%,32037,23.74%,8791,6.51%,29
Dharwad (08),160538,13540,8.43%,6717,4.18%,557,0.35%,6273,3.91%,9528,3662,132307,82.41%,20705,12.9%,7523,4.69%,29
Uttara Kannada (09),240456,24540,10.21%,15338,6.38%,1385,0.58%,7822,3.25%,17084,8261,172894,71.9%,46271,19.24%,21278,8.85%,29
Haveri (10),257562,13707,5.32%,9094,3.53%,849,0.33%,3766,1.46%,12026,7821,191657,74.41%,47654,18.5%,18201,7.07%,29
Bellary (11),290257,28382,9.78%,10034,3.46%,2161,0.74%,16187,5.58%,41041,8079,209004,72.01%,58935,20.3%,22318,7.69%,29
Chitradurga (12),282921,16260,5.75%,11589,4.1%,844,0.3%,3836,1.36%,15390,7834,224157,79.23%,43187,15.26%,15573,5.5%,29
Davanagere (13),278261,18179,6.53%,11320,4.07%,1392,0.5%,5482,1.97%,31476,8149,211360,75.96%,47247,16.98%,19654,7.06%,29
Shimoga (14),257688,13673,5.31%,9187,3.57%,660,0.26%,3828,1.49%,7665,6385,186758,72.47%,46889,18.2%,24041,9.33%,29
Udupi (15),200232,47272,23.61%,9766,4.88%,7163,3.58%,30355,15.16%,23340,11475,112188,56.03%,60947,30.44%,27096,13.53%,29
CHIKMAGALUR (16),206997,13621,6.58%,8225,3.97%,1089,0.53%,4321,2.09%,19844,7684,147025,71.03%,41855,20.22%,18076,8.73%,29
Tumkur (17),488277,30415,6.23%,17897,3.67%,2197,0.45%,10323,2.11%,22556,12647,384351,78.72%,78649,16.11%,25190,5.16%,29
Bangalore (18),269172,123668,45.94%,7207,2.68%,11725,4.36%,104750,38.92%,24477,11739,145563,54.08%,91601,34.03%,31939,11.87%,29
Mandya (19),351462,24915,7.09%,12091,3.44%,2589,0.74%,10247,2.92%,34834,11164,245407,69.82%,82329,23.42%,23726,6.75%,29
Hassan (20),348175,25647,7.37%,15370,4.41%,2035,0.58%,8256,2.37%,37139,11949,269146,77.3%,58730,16.87%,20271,5.82%,29
Dakshina Kannada (21),276202,49441,17.9%,12640,4.58%,8780,3.18%,28021,10.15%,46350,13334,159173,57.63%,80834,29.27%,36195,13.1%,29
Kodagu (22),114715,11822,10.31%,5429,4.73%,1167,1.02%,5226,4.56%,9068,3403,75408,65.74%,24717,21.55%,14589,12.72%,29
Mysore (23),416354,27274,6.55%,11150,2.68%,4239,1.02%,11885,2.85%,63149,17594,250273,60.11%,121074,29.08%,45003,10.81%,29
Chamarajanagar (24),203466,9943,4.89%,5616,2.76%,620,0.3%,3710,1.82%,7785,5308,154444,75.91%,41009,20.16%,8013,3.94%,29
Gulbarga(Kalaburagi) (25),314651,30116,9.57%,8644,2.75%,5011,1.59%,16522,5.25%,37701,9943,149538,47.53%,97230,30.9%,67874,21.57%,29
Yadgir (26),158580,9609,6.06%,3852,2.43%,3045,1.92%,2720,1.72%,13678,4475,85757,54.08%,53088,33.48%,19735,12.44%,29
Kolar (27),226042,18938,8.38%,9281,4.11%,1694,0.75%,7969,3.53%,16817,7664,164552,72.8%,47426,20.98%,14064,6.22%,29
Chikkaballapura (28),218901,11514,5.26%,6284,2.87%,1124,0.51%,4267,1.95%,6650,5351,167726,76.62%,42019,19.2%,8797,4.02%,29
Bangalore Rural (29),158426,30609,19.32%,5202,3.28%,2502,1.58%,22905,14.46%,24047,6235,108229,68.32%,38717,24.44%,11430,7.21%,29
Ramanagara (30),195562,20276,10.37%,6014,3.08%,2087,1.07%,12216,6.25%,25788,6604,147537,75.44%,37704,19.28%,10275,5.25%,29
All India Total,179787454,17340999,9.65%,8994054,5%,2016399,1.12%,6415270,3.57%,8220522,4896989,133985215,74.52%,30894589,17.18%,14828438,8.25%,30
West Zone Total,31206237,3352606,10.74%,1600362,5.13%,356772,1.14%,1398615,4.48%,1458445,1126170,22135192,70.93%,5855964,18.77%,3204134,10.27%,30
State Total,220731,129404,58.63%,28800,13.05%,6195,2.81%,94538,42.83%,43381,19614,88335,40.02%,74568,33.78%,57667,26.13%,30
NorthGoa (01),140451,84295,60.02%,21665,15.43%,3331,2.37%,59299,42.22%,28302,12023,55266,39.35%,44929,31.99%,40181,28.61%,30
SouthGoa (02),80280,45109,56.19%,7135,8.89%,2864,3.57%,35239,43.9%,15079,7591,33069,41.19%,29639,36.92%,17486,21.78%,30
All India Total,179787454,17340999,9.65%,8994054,5%,2016399,1.12%,6415270,3.57%,8220522,4896989,133985215,74.52%,30894589,17.18%,14828438,8.25%,31
UT Zone Total,1338560,791604,59.14%,137225,10.25%,93946,7.02%,560573,41.88%,216570,223027,480016,35.86%,507298,37.9%,351244,26.24%,31
State Total,10929,4907,44.9%,4495,41.13%,129,1.18%,286,2.62%,2172,336,4713,43.12%,1496,13.69%,4720,43.19%,31
Lakshadweep (01),10929,4907,44.9%,4495,41.13%,129,1.18%,286,2.62%,2172,336,4713,43.12%,1496,13.69%,4720,43.19%,31
All India Total,179787454,17340999,9.65%,8994054,5%,2016399,1.12%,6415270,3.57%,8220522,4896989,133985215,74.52%,30894589,17.18%,14828438,8.25%,32
South Zone Total,39443917,3652759,9.26%,1545951,3.92%,371569,0.94%,1741159,4.41%,2176116,1002611,29579625,74.99%,7007852,17.77%,2835724,7.19%,32
State Total,6319215,882172,13.96%,438337,6.94%,69916,1.11%,374861,5.93%,413815,137821,4471062,70.75%,1073989,17%,774163,12.25%,32
Kasaragod (01),232943,23690,10.17%,11917,5.12%,1952,0.84%,9840,4.22%,13933,5520,166728,71.57%,40907,17.56%,25308,10.86%,32
Kannur (02),475109,62790,13.22%,33539,7.06%,4649,0.98%,24808,5.22%,33625,12490,328043,69.05%,84567,17.8%,62499,13.15%,32
Wayanad (03),180860,17000,9.4%,10377,5.74%,1333,0.74%,5295,2.93%,11800,2718,144085,79.67%,21339,11.8%,15436,8.53%,32
Kozhikode (04),537969,57969,10.78%,38195,7.1%,3524,0.66%,16469,3.06%,32875,12502,392856,73.03%,82889,15.41%,62224,11.57%,32
Malappuram (05),707117,53707,7.6%,29558,4.18%,3791,0.54%,20428,2.89%,30908,8610,534204,75.55%,113313,16.02%,59600,8.43%,32
Palakkad (06),563475,65188,11.57%,31676,5.62%,4883,0.87%,28634,5.08%,23877,10558,419120,74.38%,88146,15.64%,56208,9.98%,32
Thrissur (07),591510,90011,15.22%,31580,5.34%,8182,1.38%,50285,8.5%,38445,12319,409571,69.24%,107102,18.11%,74837,12.65%,32
Ernakulam (08),529673,100771,19.03%,37434,7.07%,9256,1.75%,54159,10.22%,46623,15565,340976,64.37%,107014,20.2%,81683,15.42%,32
Idukki (09),258610,38724,14.97%,13374,5.17%,3253,1.26%,22143,8.56%,16406,6341,189453,73.26%,44131,17.06%,25026,9.68%,32
Kottayam (10),418899,75821,18.1%,32735,7.81%,6589,1.57%,36569,8.73%,37081,12206,270028,64.46%,79211,18.91%,69660,16.63%,32
Alappuzha (11),454793,82077,18.05%,44120,9.7%,5266,1.16%,32745,7.2%,33516,8961,315662,69.41%,75677,16.64%,63454,13.95%,32
Pathanamthitta (12),283661,45600,16.08%,24622,8.68%,4022,1.42%,16980,5.99%,19526,5962,183429,64.66%,56629,19.96%,43603,15.37%,32
Kollam (13),542337,85536,15.77%,49451,9.12%,6468,1.19%,29673,5.47%,39188,12444,374824,69.11%,93545,17.25%,73968,13.64%,32
Thiruvananthapuram (14),542259,83288,15.36%,49759,9.18%,6748,1.24%,26833,4.95%,36012,11625,402083,74.15%,79519,14.66%,60657,11.19%,32
All India Total,179787454,17340999,9.65%,8994054,5%,2016399,1.12%,6415270,3.57%,8220522,4896989,133985215,74.52%,30894589,17.18%,14828438,8.25%,33
South Zone Total,39443917,3652759,9.26%,1545951,3.92%,371569,0.94%,1741159,4.41%,2176116,1002611,29579625,74.99%,7007852,17.77%,2835724,7.19%,33
State Total,10088119,1114828,11.05%,461540,4.58%,65828,0.65%,588028,5.83%,404306,157297,7868873,78%,1614901,16.01%,603035,5.98%,33
Thiruvallur (01),368152,90518,24.59%,20728,5.63%,5975,1.62%,63816,17.33%,23134,10435,272451,74.01%,67176,18.25%,28525,7.75%,33
Kancheepuram (03),432465,95210,22.02%,22108,5.11%,3123,0.72%,69985,16.18%,31107,7124,287770,66.54%,98896,22.87%,45799,10.59%,33
Vellore (04),587123,70768,12.05%,31978,5.45%,3813,0.65%,34977,5.96%,24612,6371,479585,81.68%,75723,12.9%,31815,5.42%,33
Tiruvannamalai (05),488091,40609,8.32%,23163,4.75%,2035,0.42%,15423,3.16%,15506,9016,414906,85.01%,54026,11.07%,19159,3.93%,33
Viluppuram (06),671784,46943,6.99%,24445,3.64%,2740,0.41%,19768,2.94%,18983,7209,547616,81.52%,96227,14.32%,27941,4.16%,33
Salem (07),501419,40023,7.98%,17755,3.54%,3101,0.62%,19677,3.92%,17491,7112,389663,77.71%,85128,16.98%,26278,5.24%,33
Namakkal (08),285291,26771,9.38%,11485,4.03%,1314,0.46%,13977,4.9%,11954,3800,207545,72.75%,57047,20%,20699,7.26%,33
Erode (09),322172,29082,9.03%,11958,3.71%,1430,0.44%,15694,4.87%,12149,5459,246862,76.62%,54492,16.91%,20818,6.46%,33
The Nilgiris (10),84323,12313,14.6%,5127,6.08%,1765,2.09%,5421,6.43%,4664,1393,66833,79.26%,11710,13.89%,5780,6.85%,33
Dindigul (11),368203,33997,9.23%,15899,4.32%,1547,0.42%,16551,4.5%,12215,4795,294532,79.99%,54410,14.78%,19261,5.23%,33
Karur (12),176084,13598,7.72%,5871,3.33%,574,0.33%,7155,4.06%,5687,1848,140560,79.83%,27553,15.65%,7971,4.53%,33
Tiruchirappalli (13),368071,42711,11.6%,21871,5.94%,2623,0.71%,18217,4.95%,18425,5104,295810,80.37%,48717,13.24%,23544,6.4%,33
Perambalur (14),122676,6910,5.63%,3785,3.09%,483,0.39%,2648,2.16%,2926,1649,103461,84.34%,14290,11.65%,4925,4.01%,33
Ariyalur (15),175439,14083,8.03%,7887,4.5%,856,0.49%,5340,3.04%,6364,1507,142921,81.46%,22910,13.06%,9608,5.48%,33
Cuddalore (16),436344,46169,10.58%,19201,4.4%,4191,0.96%,22777,5.22%,17513,7625,351761,80.62%,58163,13.33%,25550,5.86%,33
Nagapattinam (17),318840,32169,10.09%,13162,4.13%,3401,1.07%,15607,4.89%,9407,4996,252226,79.11%,49741,15.6%,16873,5.29%,33
Thiruvarur (18),258848,19524,7.54%,12265,4.74%,1118,0.43%,6141,2.37%,8746,2878,213969,82.66%,32310,12.48%,12569,4.86%,33
Thanjavur (19),407041,36072,8.86%,18206,4.47%,2187,0.54%,15681,3.85%,16180,4377,312557,76.79%,65075,15.99%,29409,7.23%,33
Pudukkottai (20),313859,22878,7.29%,12067,3.84%,842,0.27%,9971,3.18%,9602,3658,257413,82.02%,44364,14.14%,12082,3.85%,33
Sivaganga (21),240032,24945,10.39%,10617,4.42%,1779,0.74%,12552,5.23%,7324,3846,197924,82.46%,30115,12.55%,11993,5%,33
Madurai (22),329414,36571,11.1%,16142,4.9%,1657,0.5%,18777,5.7%,12337,4322,253105,76.83%,58619,17.79%,17690,5.37%,33
Theni (23),151886,11102,7.31%,6526,4.3%,428,0.28%,4148,2.73%,5269,1662,111738,73.57%,30908,20.35%,9240,6.08%,33
Virudhunagar (24),340545,40391,11.86%,17893,5.25%,1810,0.53%,20689,6.08%,14869,4957,270220,79.35%,48323,14.19%,22002,6.46%,33
Ramanathapuram (25),238720,16169,6.77%,9453,3.96%,733,0.31%,5983,2.51%,6736,3361,181585,76.07%,44491,18.64%,12644,5.3%,33
Thoothukkudi (26),257307,26579,10.33%,15200,5.91%,1149,0.45%,10230,3.98%,11890,4106,198773,77.25%,42855,16.66%,15679,6.09%,33
Tirunelveli (27),422627,40986,9.7%,20525,4.86%,1973,0.47%,18489,4.37%,17072,5295,336834,79.7%,62442,14.77%,23351,5.53%,33
Kanniyakumari (28),166505,25450,15.28%,12233,7.35%,2113,1.27%,11105,6.67%,9287,3717,105259,63.22%,43589,26.18%,17657,10.6%,33
Dharmapuri (29),323955,32286,9.97%,18938,5.85%,1859,0.57%,11489,3.55%,14531,7290,244847,75.58%,56950,17.58%,22158,6.84%,33
Krishnagiri (30),343293,44178,12.87%,18117,5.28%,3111,0.91%,22950,6.69%,14659,7994,263564,76.78%,59483,17.33%,20246,5.9%,33
Coimbatore (31),268951,69658,25.9%,9305,3.46%,5080,1.89%,55273,20.55%,13201,7307,181987,67.67%,63309,23.54%,23655,8.8%,33
Tiruppur (32),318659,26165,8.21%,7630,2.39%,1018,0.32%,17517,5.5%,10466,7084,244596,76.76%,55859,17.53%,18114,5.68%,33
All India Total,179787454,17340999,9.65%,8994054,5%,2016399,1.12%,6415270,3.57%,8220522,4896989,133985215,74.52%,30894589,17.18%,14828438,8.25%,34
UT Zone Total,1338560,791604,59.14%,137225,10.25%,93946,7.02%,560573,41.88%,216570,223027,480016,35.86%,507298,37.9%,351244,26.24%,34
State Total,115249,38527,33.43%,10852,9.42%,3593,3.12%,24182,20.98%,6705,4327,80135,69.53%,20978,18.2%,14135,12.26%,34
Puducherry (02),88898,29323,32.98%,7890,8.88%,2572,2.89%,18959,21.33%,4814,2547,62899,70.75%,15887,17.87%,10111,11.37%,34
Karaikal (04),26351,9204,34.93%,2962,11.24%,1021,3.87%,5223,19.82%,1891,1780,17236,65.41%,5091,19.32%,4024,15.27%,34
All India Total,179787454,17340999,9.65%,8994054,5%,2016399,1.12%,6415270,3.57%,8220522,4896989,133985215,74.52%,30894589,17.18%,14828438,8.25%,35
UT Zone Total,1338560,791604,59.14%,137225,10.25%,93946,7.02%,560573,41.88%,216570,223027,480016,35.86%,507298,37.9%,351244,26.24%,35
State Total,68481,31520,46.03%,19019,27.77%,935,1.37%,11603,16.94%,15668,3369,34736,50.72%,14477,21.14%,19268,28.14%,35
Nicobars (01),9333,3517,37.68%,2362,25.31%,63,0.68%,1098,11.76%,1850,374,5915,63.38%,1192,12.77%,2226,23.85%,35
North  & Middle Andaman (02),26990,7644,28.32%,6735,24.95%,261,0.97%,671,2.49%,5322,1167,15294,56.67%,4927,18.25%,6769,25.08%,35
South Andaman (03),32158,20359,63.31%,9922,30.85%,611,1.9%,9834,30.58%,8496,1828,13527,42.06%,8358,25.99%,10273,31.95%,35
All India Total,179787454,17340999,9.65%,8994054,5%,2016399,1.12%,6415270,3.57%,8220522,4896989,133985215,74.52%,30894589,17.18%,14828438,8.25%,36
South Zone Total,39443917,3652759,9.26%,1545951,3.92%,371569,0.94%,1741159,4.41%,2176116,1002611,29579625,74.99%,7007852,17.77%,2835724,7.19%,36
State Total,5643739,433881,7.69%,154849,2.74%,114015,2.02%,167944,2.98%,349392,196429,4249143,75.29%,1063997,18.85%,327526,5.8%,36
Adilabad (01),475708,27660,5.81%,17759,3.73%,1995,0.42%,7926,1.67%,46663,25646,396799,83.41%,50248,10.56%,28570,6.01%,36
Nizamabad (02),531257,69773,13.13%,4552,0.86%,63248,11.91%,4462,0.84%,111585,26274,257225,48.42%,203168,38.24%,70728,13.31%,36
Karimnagar (03),751791,31531,4.19%,15562,2.07%,2641,0.35%,13328,1.77%,26011,17833,592161,78.77%,128371,17.08%,31240,4.16%,36
Medak (04),620236,86841,14%,39657,6.39%,18707,3.02%,28832,4.65%,53499,21267,442270,71.31%,126153,20.34%,51597,8.32%,36
Rangareddy (06),502832,86277,17.16%,19107,3.8%,7056,1.4%,60132,11.96%,41144,29825,344096,68.43%,112061,22.29%,46045,9.16%,36
Mahbubnagar (07),735280,27404,3.73%,11442,1.56%,3160,0.43%,12802,1.74%,22248,27093,583625,79.37%,123585,16.81%,27852,3.79%,36
Nalgonda (08),760630,43167,5.68%,14722,1.94%,9220,1.21%,19225,2.53%,11956,20623,630839,82.94%,106146,13.96%,22069,2.9%,36
Warangal (09),715975,34426,4.81%,17075,2.38%,4134,0.58%,13260,1.85%,17464,16861,591620,82.63%,96503,13.48%,27814,3.88%,36
Khammam (10),550030,26802,4.87%,14973,2.72%,3854,0.7%,7977,1.45%,18822,11007,410508,74.63%,117762,21.41%,21611,3.93%,36
